country,leader_title,name,first,last,visit_type,n_articles,source
法国,总统,奥朗德,2015-11-02,2015-11-03,国事访问,1,PRC MFA zyxw wayback backfill (预告)
蒙古国,总统,额勒贝格道尔吉,2015-11-10,2015-11-10,国事访问,1,PRC MFA zyxw wayback backfill
土库曼斯坦,总统,别尔德穆哈梅多夫,2015-11-12,2015-11-12,国事访问,1,PRC MFA zyxw wayback backfill
黑山,总理,久卡诺维奇,2015-11-26,2015-11-26,来华出席,1,PRC MFA zyxw wayback backfill
塞尔维亚,总理,武契奇,2015-11-26,2015-11-27,来华出席,2,PRC MFA zyxw wayback backfill
拉脱维亚,总理,斯特劳尤马,2015-11-26,2015-11-26,来华出席,1,PRC MFA zyxw wayback backfill
捷克,总理,索博特卡,2015-11-27,2015-11-27,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
法国,总统,Francois Hollande,2015-11-30,2015-11-30,国事访问,1,PRC MFA /eng/ wayback backfill
阿塞拜疆,总统,阿利耶夫,2015-12-10,2015-12-10,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
哈萨克斯坦,总理,马西莫夫,2015-12-14,2015-12-14,正式访问,1,PRC MFA zyxw wayback backfill
巴基斯坦,总理,谢里夫,2015-12-15,2015-12-15,来华出席,1,PRC MFA zyxw wayback backfill
塔吉克斯坦,总理,拉苏尔佐达,2015-12-15,2015-12-15,来华出席,1,PRC MFA zyxw wayback backfill
吉尔吉斯共和国,总理,萨里耶夫,2015-12-17,2015-12-17,正式访问,1,PRC MFA zyxw wayback backfill
俄罗斯,总理,梅德韦杰夫,2015-12-18,2015-12-18,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
伊拉克,总理,阿巴迪,2015-12-22,2015-12-22,正式访问,2,PRC MFA zyxw wayback backfill
尼泊尔,总理,奥利,2016-03-21,2016-03-21,正式访问,2,PRC MFA zyxw wayback backfill
老挝,总理,通邢,2016-03-23,2016-03-23,来华出席,1,PRC MFA zyxw wayback backfill
柬埔寨,首相,洪森,2016-03-23,2016-03-23,来华出席,1,PRC MFA zyxw wayback backfill
俄罗斯,总统,办公厅主任伊万诺夫,2016-03-25,2016-03-25,国事访问,1,PRC MFA zyxw wayback backfill
瑞士,联邦主席,施奈德,2016-04-07,2016-04-08,国事访问,2,PRC MFA zyxw wayback backfill
斯里兰卡,总理,维克勒马辛哈,2016-04-07,2016-04-08,正式访问,2,PRC MFA zyxw wayback backfill
尼日利亚,总统,布哈里,2016-04-12,2016-04-13,国事访问,2,PRC MFA zyxw wayback backfill
澳大利亚,总理,特恩布尔,2016-04-15,2016-04-15,来华出席,1,PRC MFA zyxw wayback backfill
新西兰,总理,约翰·基,2016-04-18,2016-04-19,正式访问,2,PRC MFA zyxw wayback backfill
